,B01003_001E,B01001_020E,B01001_021E,B01001_022E,B01001_023E,B01001_024E,B01001_025E,B01001_044E,B01001_045E,B01001_046E,B01001_047E,B01001_048E,B01001_049E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B01001I_001E,B09020_001E,B15003_002E,B15003_017E,B15003_022E,B15003_023E,B15003_025E,B17001_002E,B27001_002E,B27001_030E,NAME,state,place
872,238,2,11,10,17,3,0,6,8,8,1,1,4,193,0,21,1,0,0,2,71,0,43,38,28,2,17,120,118,"Seldovia city, Alaska",02,68340
873,180,6,8,8,4,5,0,2,2,1,0,0,0,123,0,27,11,2,0,2,36,0,28,17,8,9,11,99,81,"Seldovia Village CDP, Alaska",02,68370
874,2748,24,50,63,23,19,7,14,20,22,14,16,46,1928,51,420,205,20,0,143,318,0,587,182,122,6,205,1116,1116,"Seward city, Alaska",02,68560
875,63,0,0,0,0,0,1,0,0,0,0,1,0,9,0,51,0,0,1,2,2,0,14,3,0,2,24,44,19,"Shageluk city, Alaska",02,68670
876,282,1,2,4,1,1,0,0,0,6,0,2,0,3,0,276,0,0,0,0,17,0,94,4,0,0,45,143,139,"Shaktoolik city, Alaska",02,68890
877,522,5,5,14,3,2,2,5,4,6,1,4,0,34,3,475,1,0,0,0,51,0,113,15,13,0,193,274,248,"Shishmaref city, Alaska",02,69770
878,280,0,3,4,0,0,0,2,4,2,0,1,2,37,0,222,3,0,0,0,18,0,61,0,0,0,87,136,144,"Shungnak city, Alaska",02,70100
879,155,0,0,1,0,0,2,0,0,0,0,0,0,150,0,0,0,0,0,2,3,0,11,14,10,0,12,52,103,"Silver Springs CDP, Alaska",02,70320
880,8810,92,93,178,88,63,72,91,131,147,83,102,85,5712,85,1262,608,37,53,555,1225,34,1252,1210,527,126,800,4420,4211,"Sitka city and borough, Alaska",02,70540
881,996,21,17,14,10,2,2,4,11,13,10,2,3,821,9,69,42,0,3,68,109,3,137,195,52,6,58,568,428,"Skagway CDP, Alaska",02,70760
882,57,0,5,5,0,0,0,0,5,0,0,0,0,57,0,0,0,0,0,0,15,0,15,0,0,0,15,38,19,"Skwentna CDP, Alaska",02,70870
883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Slana CDP, Alaska",02,70930
884,85,0,0,0,0,1,0,0,0,0,2,0,0,14,0,70,0,0,0,5,3,0,9,3,2,0,35,40,45,"Sleetmute CDP, Alaska",02,71090
885,4516,0,49,58,0,15,31,25,220,77,55,64,78,4114,0,213,25,0,0,58,672,27,755,417,267,27,288,2095,2378,"Soldotna city, Alaska",02,71640
886,47,0,2,2,0,0,0,0,0,1,0,3,0,10,0,37,0,0,0,0,8,0,13,2,4,0,7,30,17,"South Naknek CDP, Alaska",02,72190
887,496,0,0,0,0,0,0,0,0,0,0,0,15,401,0,89,0,0,0,0,15,0,75,35,0,0,84,306,190,"South Van Horn CDP, Alaska",02,72230
888,500,3,11,4,0,2,2,1,3,7,1,4,0,11,0,471,0,0,0,0,38,0,83,5,3,5,169,279,221,"Stebbins city, Alaska",02,72960
889,7571,71,130,143,34,19,34,59,65,84,16,75,37,6456,21,273,43,1,231,812,767,27,681,1261,475,6,226,4026,3476,"Steele Creek CDP, Alaska",02,72985
890,5387,145,141,111,57,56,64,53,117,77,35,29,51,4722,21,78,133,0,59,88,936,27,1006,412,251,0,500,2707,2659,"Sterling CDP, Alaska",02,73070
891,10,0,0,0,2,2,0,0,0,0,0,0,0,0,0,10,0,0,0,0,4,0,4,0,0,0,8,6,4,"Stevens Village CDP, Alaska",02,73290
892,36,0,0,1,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,1,2,7,0,0,0,21,23,13,"Stony River CDP, Alaska",02,73400
893,39,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,33,0,0,0,39,"Sunrise CDP, Alaska",02,73950
894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Susitna CDP, Alaska",02,74340
895,908,36,28,56,8,4,0,33,22,27,0,23,0,752,0,64,0,0,0,8,237,0,287,138,36,18,169,511,397,"Susitna North CDP, Alaska",02,74350
896,1647,31,13,45,12,0,6,19,26,35,10,5,5,1098,34,208,45,0,3,39,207,3,278,106,37,0,163,526,487,"Sutton-Alpine CDP, Alaska",02,74525
897,40,0,0,0,0,2,0,0,1,2,0,0,0,21,0,11,0,0,0,10,5,0,5,0,0,0,12,26,14,"Takotna CDP, Alaska",02,74610
898,946,0,17,32,0,18,0,23,18,14,7,0,0,836,0,27,1,0,0,19,129,0,138,142,29,0,34,431,515,"Talkeetna CDP, Alaska",02,74830
