State,City,PlaceFIPS,ACCESS2,ARTHRITIS,BINGE,BPHIGH,BPMED,CANCER,CASTHMA,CHD,CHECKUP,CHOLSCREEN,COLON_SCREEN,COPD,COREM,COREW,CSMOKING,DENTAL,DIABETES,HIGHCHOL,KIDNEY,LPA,MAMMOUSE,MHLTH,OBESITY,PAPTEST,PHLTH,SLEEP,STROKE,TEETHLOST
MN,Rochester,2754880,8.4,19.4,21.1,26.6,57.8,6.1,7.9,4.9,65.9,74.6,72.1,4.2,35.6,35.3,15.0,72.3,7.0,29.3,1.9,18.5,83.2,8.4,27.1,85.8,7.9,29.5,2.3,9.1
MN,St. Paul,2758000,12.7,20.6,18.0,27.7,59.8,5.9,9.0,5.5,68.6,73.8,64.7,5.2,30.5,34.5,19.7,64.7,9.1,31.2,2.3,22.6,80.6,10.0,29.6,81.9,10.5,31.2,2.9,13.2
MS,Gulfport,2829700,21.9,27.0,13.7,40.7,68.7,6.0,9.0,6.9,74.3,71.0,57.4,7.4,34.0,30.6,24.1,55.2,12.4,37.2,3.1,30.7,69.5,14.1,34.6,78.7,14.1,38.9,3.9,20.7
MS,Jackson,2836000,23.5,28.8,11.4,45.2,72.1,5.6,10.0,6.9,77.5,72.4,59.7,7.2,34.0,29.6,23.4,49.5,15.1,36.3,3.4,33.0,75.8,14.5,40.6,82.4,14.8,43.6,4.8,23.8
MO,Columbia,2915670,13.5,24.4,15.6,28.8,63.6,6.3,9.4,5.8,66.8,72.0,65.3,6.3,39.7,35.4,18.3,62.8,8.9,29.7,2.2,21.3,74.9,11.4,29.2,80.5,11.6,30.0,2.7,13.5
MO,Independence,2935000,17.1,26.0,15.9,29.3,63.1,6.5,10.1,6.6,65.2,70.6,60.8,8.0,38.4,38.2,25.0,56.5,9.7,34.2,2.3,25.4,72.9,13.3,32.2,77.3,13.9,33.7,3.1,18.4
MO,Kansas City,2938000,17.7,26.0,14.7,32.9,66.1,6.1,10.3,6.5,67.8,71.5,61.2,7.3,35.9,35.6,22.3,55.9,11.5,33.5,2.7,25.7,74.6,12.6,34.7,79.3,13.7,35.6,3.5,19.6
MO,Lee's Summit,2941348,10.1,22.8,17.4,27.2,61.8,6.6,8.9,5.3,67.6,73.3,68.5,5.4,41.9,43.2,17.6,68.8,7.7,32.9,2.0,18.0,77.9,9.9,27.5,84.0,9.7,30.4,2.3,11.9
MO,O'Fallon,2954074,10.4,23.8,17.6,26.1,60.7,6.4,8.6,5.4,68.6,75.1,67.7,5.7,40.5,42.5,17.8,66.2,7.7,32.8,2.1,20.5,76.5,10.4,24.9,83.0,10.1,32.4,2.3,13.0
MO,St. Joseph,2964550,16.6,27.1,15.6,30.8,63.6,6.4,9.9,6.7,65.9,69.9,59.6,8.3,36.4,36.4,24.8,52.5,9.9,35.3,2.4,27.9,70.1,13.4,32.4,77.4,13.9,37.9,3.1,20.9
MO,St. Louis,2965000,19.3,27.9,14.9,35.2,67.8,5.9,11.2,7.0,71.7,70.6,58.8,8.2,36.5,30.2,24.9,51.9,13.8,31.1,3.3,27.6,71.2,14.0,37.0,78.3,15.6,39.0,4.3,24.4
MO,Springfield,2970000,17.6,27.5,15.1,29.7,64.4,6.4,10.2,6.8,63.5,69.7,58.7,8.6,40.3,34.6,24.4,52.0,10.0,32.4,2.4,26.2,68.0,13.9,35.9,75.6,14.7,34.6,3.2,20.0
MT,Billings,3006550,15.4,23.1,19.6,26.9,52.9,6.3,9.6,5.2,63.4,70.8,60.4,6.0,38.8,34.1,21.6,62.9,7.7,29.7,2.1,20.3,72.1,10.8,27.6,80.2,11.7,30.0,2.6,15.7
MT,Missoula,3050200,14.2,22.6,20.1,27.0,52.3,6.3,9.3,5.3,60.6,70.4,60.7,5.9,34.8,32.5,18.3,66.4,7.4,30.6,2.1,17.1,76.2,10.5,25.5,80.0,11.3,29.4,2.6,13.3
